material,ID,Date,OrderID,Product,Quantity,Factory,Workstation,ManufacturerID,ManufacturerNameID,QualityControlID,QualityNameID,TeamLeaderID,TeamNameID,ImagePath,Prediction,Confidence
ORD2994_2024-03-20,1,2024-03-20,ORD2994,Laptop,976.0,CH2,PC-Blade-IM,ID_1006,製造者2,ID_1005,品保員2,ID_1003,組長2,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo\0.png,0,0.4766366183757782
ORD2994_2024-03-20,2,2024-03-20,ORD2994,Laptop,976.0,CH2,PC-Blade-IM,ID_1006,製造者2,ID_1005,品保員2,ID_1003,組長2,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo\0_1_12.png,0,0.1219590306282043
ORD2994_2024-03-20,3,2024-03-20,ORD2994,Laptop,976.0,CH2,PC-Blade-IM,ID_1006,製造者2,ID_1005,品保員2,ID_1003,組長2,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo\0_1_17.png,0,0.2067942917346954
ORD2994_2024-03-20,4,2024-03-20,ORD2994,Laptop,976.0,CH2,PC-Blade-IM,ID_1006,製造者2,ID_1005,品保員2,ID_1003,組長2,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo\0_1_24.png,0,0.2959731817245483
ORD2994_2024-03-20,5,2024-03-20,ORD2994,Laptop,976.0,CH2,PC-Blade-IM,ID_1006,製造者2,ID_1005,品保員2,ID_1003,組長2,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo\0_1_5.png,0,0.09244155138731
ORD5100_2024-01-14,1,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\0.png,0,0.4766366183757782
ORD5100_2024-01-14,2,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\0_1_12.png,0,0.1219590306282043
ORD5100_2024-01-14,3,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\0_1_17.png,0,0.2067942917346954
ORD5100_2024-01-14,4,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\0_1_24.png,0,0.2959731817245483
ORD5100_2024-01-14,5,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\0_1_29.png,0,0.4659252464771271
ORD5100_2024-01-14,6,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\0_1_36.png,0,0.33998903632164
ORD5100_2024-01-14,7,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\0_1_41.png,0,0.2117501497268676
ORD5100_2024-01-14,8,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\0_1_5.png,0,0.09244155138731
ORD5100_2024-01-14,9,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\1.png,0,0.4937261044979095
ORD5100_2024-01-14,10,2024-01-14,ORD5100,Camera,947.0,CH2,FP-FinalQC-Visual,ID_1077,劉昊低,ID_1033,周興喘,ID_1049,劉翔翔,C:/Users/a2778/OneDrive/桌面/結訓專題-CNN圖像識別/風扇良率判定資訊查詢系統window/photo/新增資料夾\10.png,1,0.8936401009559631
